2.50024s	CWnd: 64476 KB
2.50118s	CWnd: 64480 KB
2.50212s	CWnd: 64484 KB
2.50307s	CWnd: 64488 KB
2.50401s	CWnd: 64492 KB
2.50496s	CWnd: 64496 KB
2.5059s	CWnd: 64500 KB
2.50684s	CWnd: 64504 KB
2.50779s	CWnd: 64508 KB
2.50873s	CWnd: 64512 KB
2.50968s	CWnd: 64516 KB
2.51062s	CWnd: 64520 KB
2.51156s	CWnd: 64524 KB
2.51251s	CWnd: 64528 KB
2.51345s	CWnd: 64532 KB
2.5144s	CWnd: 64536 KB
2.51534s	CWnd: 64540 KB
2.51628s	CWnd: 64544 KB
2.51723s	CWnd: 64548 KB
2.51817s	CWnd: 64552 KB
2.51912s	CWnd: 64556 KB
2.52006s	CWnd: 64560 KB
2.521s	CWnd: 64564 KB
2.52195s	CWnd: 64568 KB
2.52289s	CWnd: 64572 KB
2.52384s	CWnd: 64576 KB
2.52478s	CWnd: 64580 KB
2.52572s	CWnd: 64584 KB
2.52667s	CWnd: 64588 KB
2.52761s	CWnd: 64592 KB
2.52856s	CWnd: 64596 KB
2.5295s	CWnd: 64600 KB
2.53044s	CWnd: 64604 KB
2.53139s	CWnd: 64608 KB
2.53233s	CWnd: 64612 KB
2.53328s	CWnd: 64616 KB
2.53422s	CWnd: 64620 KB
2.53516s	CWnd: 64624 KB
2.53611s	CWnd: 64628 KB
2.53705s	CWnd: 64632 KB
2.538s	CWnd: 64636 KB
2.53894s	CWnd: 64640 KB
2.53988s	CWnd: 64644 KB
2.54083s	CWnd: 64648 KB
2.54177s	CWnd: 64652 KB
2.54272s	CWnd: 64656 KB
2.54366s	CWnd: 64660 KB
2.5446s	CWnd: 64664 KB
2.54555s	CWnd: 64668 KB
2.54649s	CWnd: 64672 KB
2.54744s	CWnd: 64676 KB
2.54838s	CWnd: 64680 KB
2.54932s	CWnd: 64684 KB
2.55027s	CWnd: 64688 KB
2.55121s	CWnd: 64692 KB
2.55216s	CWnd: 64696 KB
2.5531s	CWnd: 64700 KB
2.55404s	CWnd: 64704 KB
2.55499s	CWnd: 64708 KB
2.55593s	CWnd: 64712 KB
2.55688s	CWnd: 64716 KB
2.55782s	CWnd: 64720 KB
2.55876s	CWnd: 64724 KB
2.55971s	CWnd: 64728 KB
2.56065s	CWnd: 64732 KB
2.5616s	CWnd: 64736 KB
2.56254s	CWnd: 64740 KB
2.56348s	CWnd: 64744 KB
2.56443s	CWnd: 64748 KB
2.56537s	CWnd: 64752 KB
2.56632s	CWnd: 64756 KB
2.56726s	CWnd: 64760 KB
2.5682s	CWnd: 64764 KB
2.56915s	CWnd: 64768 KB
2.57009s	CWnd: 64772 KB
2.57104s	CWnd: 64776 KB
2.57198s	CWnd: 64780 KB
2.57292s	CWnd: 64784 KB
2.57387s	CWnd: 64788 KB
2.57481s	CWnd: 64792 KB
2.57576s	CWnd: 64796 KB
2.5767s	CWnd: 64800 KB
2.57764s	CWnd: 64804 KB
2.57859s	CWnd: 64808 KB
2.57953s	CWnd: 64812 KB
2.58048s	CWnd: 64816 KB
2.58142s	CWnd: 64820 KB
2.58236s	CWnd: 64824 KB
2.58331s	CWnd: 64828 KB
2.58425s	CWnd: 64832 KB
2.5852s	CWnd: 64836 KB
2.58614s	CWnd: 64840 KB
2.58708s	CWnd: 64844 KB
2.58803s	CWnd: 64848 KB
2.58897s	CWnd: 64852 KB
2.58992s	CWnd: 64856 KB
2.59086s	CWnd: 64860 KB
2.5918s	CWnd: 64864 KB
2.59275s	CWnd: 64868 KB
2.59369s	CWnd: 64872 KB
2.59464s	CWnd: 64876 KB
2.59558s	CWnd: 64880 KB
2.59652s	CWnd: 64884 KB
2.59747s	CWnd: 64888 KB
2.59841s	CWnd: 64892 KB
2.59936s	CWnd: 64896 KB
2.6003s	CWnd: 64900 KB
2.60124s	CWnd: 64904 KB
2.60219s	CWnd: 64908 KB
2.60313s	CWnd: 64912 KB
2.60408s	CWnd: 64916 KB
2.60502s	CWnd: 64920 KB
2.60596s	CWnd: 64924 KB
2.60691s	CWnd: 64928 KB
2.60785s	CWnd: 64932 KB
2.6088s	CWnd: 64936 KB
2.60974s	CWnd: 64940 KB
2.61068s	CWnd: 64944 KB
2.61163s	CWnd: 64948 KB
2.61257s	CWnd: 64952 KB
2.61352s	CWnd: 64956 KB
2.61446s	CWnd: 64960 KB
2.6154s	CWnd: 64964 KB
2.61635s	CWnd: 64968 KB
2.61729s	CWnd: 64972 KB
2.61824s	CWnd: 64976 KB
2.61918s	CWnd: 64980 KB
2.62012s	CWnd: 64984 KB
2.62107s	CWnd: 64988 KB
2.62201s	CWnd: 64992 KB
2.62296s	CWnd: 64996 KB
2.6239s	CWnd: 65000 KB
2.62484s	CWnd: 65004 KB
2.62579s	CWnd: 65008 KB
2.62673s	CWnd: 65012 KB
2.62768s	CWnd: 65016 KB
2.62862s	CWnd: 65020 KB
2.62956s	CWnd: 65024 KB
2.63051s	CWnd: 65028 KB
2.63145s	CWnd: 65032 KB
2.6324s	CWnd: 65036 KB
2.63334s	CWnd: 65040 KB
2.63428s	CWnd: 65044 KB
2.63523s	CWnd: 65048 KB
2.63617s	CWnd: 65052 KB
2.63712s	CWnd: 65056 KB
2.63806s	CWnd: 65060 KB
2.639s	CWnd: 65064 KB
2.63995s	CWnd: 65068 KB
2.64089s	CWnd: 65072 KB
2.64184s	CWnd: 65076 KB
2.64278s	CWnd: 65080 KB
2.64372s	CWnd: 65084 KB
2.64467s	CWnd: 65088 KB
2.64561s	CWnd: 65092 KB
2.64656s	CWnd: 65096 KB
2.6475s	CWnd: 65100 KB
2.64844s	CWnd: 65104 KB
2.64939s	CWnd: 65108 KB
2.65033s	CWnd: 65112 KB
2.65128s	CWnd: 65116 KB
2.65222s	CWnd: 65120 KB
2.65316s	CWnd: 65124 KB
2.65411s	CWnd: 65128 KB
2.65505s	CWnd: 65132 KB
2.656s	CWnd: 65136 KB
2.65694s	CWnd: 65140 KB
2.65788s	CWnd: 65144 KB
2.65883s	CWnd: 65148 KB
2.65977s	CWnd: 65152 KB
2.66072s	CWnd: 65156 KB
2.66166s	CWnd: 65160 KB
2.6626s	CWnd: 65164 KB
2.66355s	CWnd: 65168 KB
2.66449s	CWnd: 65172 KB
2.66544s	CWnd: 65176 KB
2.66638s	CWnd: 65180 KB
2.66732s	CWnd: 65184 KB
2.66827s	CWnd: 65188 KB
2.66921s	CWnd: 65192 KB
2.67016s	CWnd: 65196 KB
2.6711s	CWnd: 65200 KB
