Time: 1.1 s, Throughput: 0 Mbps, cwnd: 39128 bytes 
Time: 1.2 s, Throughput: 9.09056 Mbps, cwnd: 150616 bytes 
Time: 1.3 s, Throughput: 0.55744 Mbps, cwnd: 84420 bytes 
Time: 1.4 s, Throughput: 15.8746 Mbps, cwnd: 84420 bytes 
Time: 1.5 s, Throughput: 4.37376 Mbps, cwnd: 82713 bytes 
Time: 1.6 s, Throughput: 13.6307 Mbps, cwnd: 23651 bytes 
Time: 1.7 s, Throughput: 6.60352 Mbps, cwnd: 15041 bytes 
Time: 1.8 s, Throughput: 6.13184 Mbps, cwnd: 17721 bytes 
Time: 1.9 s, Throughput: 7.11808 Mbps, cwnd: 20401 bytes 
Time: 2 s, Throughput: 8.10432 Mbps, cwnd: 22545 bytes 
Time: 2.1 s, Throughput: 8.96192 Mbps, cwnd: 25225 bytes 
Time: 2.2 s, Throughput: 9.09056 Mbps, cwnd: 27369 bytes 
Time: 2.3 s, Throughput: 9.09056 Mbps, cwnd: 29513 bytes 
Time: 2.4 s, Throughput: 9.09056 Mbps, cwnd: 31657 bytes 
Time: 2.5 s, Throughput: 9.04768 Mbps, cwnd: 33265 bytes 
Time: 2.6 s, Throughput: 9.09056 Mbps, cwnd: 29680 bytes 
Time: 2.7 s, Throughput: 7.7184 Mbps, cwnd: 21188 bytes 
Time: 2.8 s, Throughput: 8.27584 Mbps, cwnd: 23332 bytes 
Time: 2.9 s, Throughput: 9.0048 Mbps, cwnd: 26012 bytes 
Time: 3 s, Throughput: 9.09056 Mbps, cwnd: 28156 bytes 
Time: 3.1 s, Throughput: 9.09056 Mbps, cwnd: 30300 bytes 
Time: 3.2 s, Throughput: 9.04768 Mbps, cwnd: 32444 bytes 
Time: 3.3 s, Throughput: 9.09056 Mbps, cwnd: 34052 bytes 
Time: 3.4 s, Throughput: 8.70464 Mbps, cwnd: 19170 bytes 
Time: 3.5 s, Throughput: 7.67552 Mbps, cwnd: 21850 bytes 
Time: 3.6 s, Throughput: 8.61888 Mbps, cwnd: 24530 bytes 
Time: 3.7 s, Throughput: 9.09056 Mbps, cwnd: 26674 bytes 
Time: 3.8 s, Throughput: 9.09056 Mbps, cwnd: 28818 bytes 
Time: 3.9 s, Throughput: 9.04768 Mbps, cwnd: 30962 bytes 
Time: 4 s, Throughput: 9.09056 Mbps, cwnd: 33106 bytes 
Time: 4.1 s, Throughput: 9.09056 Mbps, cwnd: 34714 bytes 
Time: 4.2 s, Throughput: 8.31872 Mbps, cwnd: 20305 bytes 
Time: 4.3 s, Throughput: 7.9328 Mbps, cwnd: 22449 bytes 
Time: 4.4 s, Throughput: 8.74752 Mbps, cwnd: 25129 bytes 
Time: 4.5 s, Throughput: 9.04768 Mbps, cwnd: 27273 bytes 
Time: 4.6 s, Throughput: 9.09056 Mbps, cwnd: 29417 bytes 
Time: 4.7 s, Throughput: 9.09056 Mbps, cwnd: 31561 bytes 
Time: 4.8 s, Throughput: 9.09056 Mbps, cwnd: 33705 bytes 
Time: 4.9 s, Throughput: 7.504 Mbps, cwnd: 34648 bytes 
Time: 5 s, Throughput: 9.56224 Mbps, cwnd: 20872 bytes 
Time: 5.1 s, Throughput: 8.10432 Mbps, cwnd: 23552 bytes 
Time: 5.2 s, Throughput: 8.87616 Mbps, cwnd: 25696 bytes 
Time: 5.3 s, Throughput: 9.09056 Mbps, cwnd: 28376 bytes 
Time: 5.4 s, Throughput: 9.09056 Mbps, cwnd: 29984 bytes 
Time: 5.5 s, Throughput: 9.09056 Mbps, cwnd: 32128 bytes 
Time: 5.6 s, Throughput: 9.09056 Mbps, cwnd: 34272 bytes 
Time: 5.7 s, Throughput: 9.09056 Mbps, cwnd: 18744 bytes 
Time: 5.8 s, Throughput: 7.46112 Mbps, cwnd: 21424 bytes 
